Player,Tm,G,Player-additional
Mitchell Robinson,NYK,72,robinmi01
Jeremiah Robinson-Earl,OKC,49,robinje02
Isaiah Roby,OKC,45,robyis01
Rajon Rondo,TOT,39,rondora01
Derrick Rose,NYK,26,rosede01
Terrence Ross,ORL,63,rosste01
Terry Rozier,CHO,73,roziete01
Ricky Rubio,CLE,34,rubiori01
D'Angelo Russell,MIN,65,russeda01
Matt Ryan,BOS,1,ryanma01
Domantas Sabonis,TOT,62,sabondo01
Olivier Sarr,OKC,22,sarrol01
Tomáš Satoranský,TOT,55,satorto01
Jordan Schakel,WAS,4,schakjo01
Admiral Schofield,ORL,38,schofad01
Dennis Schröder,TOT,64,schrode01
Tre Scott,CLE,2,scotttr01
Jay Scrubb,LAC,18,scrubja01
Wayne Selden,NYK,3,seldewa01
Alperen Şengün,HOU,72,sengual01
Collin Sexton,CLE,11,sextoco01
Landry Shamet,PHO,69,shamela01
Day'Ron Sharpe,BRK,32,sharpda01
Pascal Siakam,TOR,68,siakapa01
Chris Silva,TOT,10,silvach01
Marko Simonovic,CHI,9,simonma01
Anfernee Simons,POR,57,simonan01
Zavier Simpson,OKC,4,simpsza01
Jericho Sims,NYK,41,simsje01
Deividas Sirvydis,DET,3,sirvyde01
Javonte Smart,TOT,17,smartja01
Marcus Smart,BOS,71,smartma01
Dennis Smith Jr.,POR,37,smithde03
Ish Smith,TOT,65,smithis01
Jalen Smith,TOT,51,smithja04
Xavier Sneed,TOT,9,sneedxa01
Tony Snell,TOT,53,snellto01
Jaden Springer,PHI,2,sprinja01
Cassius Stanley,DET,9,stanlca01
Nik Stauskas,TOT,8,stausni01
Lance Stephenson,TOT,46,stephla01
Lamar Stevens,CLE,63,stevela01
Isaiah Stewart,DET,71,stewais01
Max Strus,MIA,68,strusma01
Jalen Suggs,ORL,48,suggsja01
Craig Sword,WAS,3,swordcr01
Keifer Sykes,IND,32,sykeske01
Jae'Sean Tate,HOU,78,tateja01
Jayson Tatum,BOS,76,tatumja01
Terry Taylor,IND,33,taylote01
Garrett Temple,NOP,59,templga01
Emanuel Terry,PHO,3,terryem01
Tyrell Terry,MEM,2,terryty01
Jon Teske,MEM,3,teskejo01
Daniel Theis,TOT,47,theisda01
Brodric Thomas,BOS,12,thomabr01
Cam Thomas,BRK,67,thomaca02
Isaiah Thomas,TOT,22,thomais02
Matt Thomas,CHI,40,thomama02
Klay Thompson,GSW,32,thompkl01
Tristan Thompson,TOT,57,thomptr01
JT Thor,CHO,33,thorjt01
Matisse Thybulle,PHI,66,thybuma01
Killian Tillie,MEM,36,tilliki02
Xavier Tillman Sr.,MEM,53,tillmxa01
Isaiah Todd,WAS,12,toddis01
Obi Toppin,NYK,72,toppiob01
Juan Toscano-Anderson,GSW,73,toscaju01
